Age,Gender,Education Level,Job Title,Years of Experience,Salary,APIs,Agile,Big Data,Budget Planning,Business Development,Business Strategy,Cloud,Data Cleaning,Data Visualization,Decision Making,Deep Learning,Docker,Excel,Git,Java,Leadership,Linux,Machine Learning,Operations Management,Power BI,Project Management,Python,Risk Management,SQL,Stakeholder Management,Statistics,Strategic Planning,System Design,Tableau,Team Leadership
33.0,Male,Master,Business Intelligence Analyst,7.0,85000.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
43.0,Male,PhD,Senior Engineer,17.0,140000.0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
47.0,Male,PhD,Senior Data Scientist,21.0,180000.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0
46.0,Male,Bachelor,IT Manager,19.0,120000.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
33.0,Male,Bachelor,Web Developer,6.0,65000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
32.0,Male,Master,Senior Software Engineer,6.0,100000.0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
41.0,Female,Master,Data Analyst,13.0,80000.0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
36.0,Male,PhD,Principal Scientist,11.0,120000.0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
43.0,Male,Bachelor,Supply Chain Manager,18.0,105000.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
33.0,Male,Bachelor,Business Analyst,7.0,75000.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
39.0,Female,Bachelor,Training Specialist,12.0,65000.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
47.0,Male,PhD,Research Scientist,22.0,160000.0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
26.0,Male,Bachelor,Junior Software Developer,1.0,35000.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45.0,Male,Bachelor,Operations Analyst,20.0,110000.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0
33.0,Male,Bachelor,Junior Web Developer,5.0,50000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
44.0,Male,PhD,Chief Data Officer,16.0,220000.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
30.0,Female,Bachelor,Digital Content Producer,3.0,50000.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
37.0,Male,Bachelor,Software Project Manager,9.0,95000.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
50.0,Female,Bachelor,Supply Chain Analyst,22.0,130000.0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
32.0,Male,Master,Senior Business Analyst,6.0,90000.0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
48.0,Male,PhD,Principal Engineer,20.0,170000.0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
33.0,Female,Bachelor,Junior Operations Analyst,5.0,50000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
44.0,Female,PhD,Senior Scientist,16.0,140000.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0
34.0,Male,Master,Senior Software Developer,8.0,105000.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
40.0,Female,Master,Senior Training Specialist,12.0,100000.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
47.0,Male,PhD,Senior Research Scientist,22.0,160000.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
36.0,Male,Bachelor,Junior Data Analyst,7.0,60000.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
28.0,Male,Bachelor,Junior Business Analyst,2.0,40000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
33.0,Male,Bachelor,Junior Software Developer,5.0,50000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
34.0,Male,Bachelor,Senior Business Analyst,8.0,90000.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
42.0,Female,PhD,Senior Data Scientist,16.0,150000.0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
28.0,Male,Bachelor,Junior Software Engineer,2.0,40000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30.0,Female,Bachelor,Junior Copywriter,3.0,45000.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
34.0,Male,Master,Senior Software Engineer,9.0,105000.0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
26.0,Female,Master,Junior Data Scientist,1.5,45000.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
35.0,Male,Bachelor,Senior Operations Analyst,7.0,85000.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
37.0,Male,Master,Senior Business Analyst,9.0,105000.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
43.0,Male,Bachelor,Senior IT Project Manager,14.0,130000.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
34.0,Male,Bachelor,Senior Quality Assurance Analyst,9.0,100000.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
28.0,Male,Bachelor,Junior Operations Analyst,1.5,35000.0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,Male,Bachelor,Junior Business Analyst,2.0,40000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
45.0,Male,PhD,Senior Data Analyst,17.0,155000.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0
35.0,Male,Master,Senior Software Developer,9.0,110000.0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
49.0,Female,Master,Director of Human Capital,21.0,180000.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
38.0,Male,Master,Senior IT Consultant,9.0,110000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0
44.0,Male,Bachelor,Senior Software Engineer,14.0,130000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
29.0,Male,Bachelor,Junior Business Operations Analyst,1.5,35000.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
46.0,Male,PhD,Senior Data Scientist,18.0,160000.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0
37.0,Male,Master,Senior Software Architect,9.0,120000.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
27.0,Female,Master,Junior Research Scientist,1.5,50000.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35.0,Male,Bachelor,Senior Operations Analyst,8.0,85000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
45.0,Male,Master,Senior Software Developer,16.0,140000.0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
33.0,Female,Bachelor,Junior Operations Analyst,5.0,70000.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
29.0,Male,Bachelor,Junior Business Analyst,1.5,40000.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
46.0,Male,PhD,Senior Data Analyst,19.0,150000.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0
38.0,Male,Master,Senior IT Consultant,9.0,110000.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
44.0,Male,Bachelor,Senior Software Engineer,14.0,130000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
46.0,Male,PhD,Senior Data Scientist,18.0,160000.0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
45.0,Male,PhD,Senior Data Engineer,16.0,150000.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
30.0,Male,Bachelor,Junior Business Analyst,2.0,40000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
46.0,Male,PhD,Senior Data Analyst,17.0,160000.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
31.0,Male,Bachelor,Junior Operations Analyst,3.0,50000.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
33.0,Male,Bachelor,Junior Business Analyst,4.0,60000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0
44.0,Male,Bachelor,Senior Software Engineer,13.0,130000.0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
38.0,Female,Bachelor,Senior Business Analyst,10.0,110000.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
44.0,Male,PhD,Senior Data Scientist,16.0,160000.0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0
45.0,Male,PhD,Senior Data Engineer,16.0,150000.0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
36.0,Male,Bachelor,Senior Business Analyst,8.0,95000.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
31.0,Male,Bachelor,Junior Operations Analyst,3.0,50000.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
33.0,Male,Bachelor,Junior Business Analyst,4.0,60000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
44.0,Male,Bachelor,Senior Software Engineer,13.0,130000.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
47.0,Male,PhD,Director of Engineering,20.0,180000.0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
43.0,Female,PhD,Senior Data Scientist,15.0,150000.0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
38.0,Female,Bachelor,Senior Business Analyst,10.0,110000.0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
44.0,Female,PhD,Senior Business Analyst,15.0,150000.0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
44.0,Female,PhD,Senior Data Engineer,16.0,160000.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
33.0,Male,Bachelor,Junior Business Analyst,4.0,60000.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
45.0,Male,Master,Director of Engineering,19.0,180000.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
44.0,Female,PhD,Senior Data Scientist,16.0,160000.0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0
38.0,Female,Bachelor,Senior Business Analyst,10.0,110000.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
44.0,Female,PhD,Senior Business Analyst,15.0,150000.0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
44.0,Female,PhD,Senior Data Engineer,16.0,160000.0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
33.0,Male,Bachelor,Junior Business Analyst,4.0,60000.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
44.0,Female,PhD,Senior Business Analyst,15.0,150000.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
31.0,Male,Master,Data Scientist,6.0,160000.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0
28.0,Female,Bachelor,Software Engineer,3.0,125000.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27.0,Female,Bachelor,Data Analyst,2.0,110000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
30.0,Male,PhD,Data Scientist,5.0,180000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0
29.0,Female,Bachelor,Software Engineer,4.0,140000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
25.0,Female,Master,Data Analyst,1.0,100000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
33.0,Male,PhD,Data Scientist,8.0,190000.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
31.0,Female,Bachelor,Software Engineer,6.0,155000.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
30.0,Female,Bachelor,Data Analyst,5.0,145000.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
27.0,Male,PhD,Data Scientist,2.0,115000.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
29.0,Female,Bachelor,Software Engineer,4.0,140000.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25.0,Female,Master,Data Analyst,1.0,100000.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
33.0,Male,PhD,Data Scientist,8.0,190000.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
31.0,Female,Bachelor,Software Engineer,6.0,155000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
30.0,Female,Bachelor,Data Analyst,5.0,145000.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
28.0,Male,Bachelor,Software Engineer,3.0,125000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27.0,Male,Bachelor,Data Analyst,2.0,110000.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30.0,Female,PhD,Data Scientist,5.0,180000.0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29.0,Male,Bachelor,Software Engineer,4.0,140000.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25.0,Female,Master,Data Analyst,1.0,100000.0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
33.0,Male,PhD,Data Scientist,8.0,190000.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
31.0,Female,Bachelor,Software Engineer,6.0,155000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
30.0,Female,Bachelor,Data Analyst,5.0,145000.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
27.0,Male,PhD,Data Scientist,2.0,115000.0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29.0,Female,Bachelor,Software Engineer,4.0,140000.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25.0,Female,Master,Data Analyst,1.0,100000.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
33.0,Male,PhD,Data Scientist,8.0,190000.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
31.0,Female,Bachelor,Software Engineer,6.0,155000.0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30.0,Female,Bachelor,Data Analyst,5.0,145000.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
28.0,Male,Bachelor,Software Engineer,3.0,125000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
27.0,Male,Bachelor,Data Analyst,2.0,110000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
30.0,Female,PhD,Data Scientist,5.0,180000.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
29.0,Male,Bachelor,Software Engineer,4.0,140000.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25.0,Female,Master,Data Analyst,1.0,100000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
33.0,Male,PhD,Data Scientist,8.0,190000.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
31.0,Female,Bachelor,Software Engineer,6.0,155000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
30.0,Female,Bachelor,Data Analyst,5.0,145000.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
27.0,Male,PhD,Data Scientist,2.0,115000.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
29.0,Female,Bachelor,Software Engineer,4.0,140000.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25.0,Female,Master,Data Analyst,1.0,100000.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
33.0,Male,PhD,Data Scientist,8.0,190000.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
31.0,Female,Bachelor,Software Engineer,6.0,155000.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30.0,Female,Bachelor,Data Analyst,5.0,145000.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
28.0,Male,Bachelor,Software Engineer,3.0,125000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
27.0,Male,Bachelor,Data Analyst,2.0,110000.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30.0,Female,PhD,Data Scientist,5.0,180000.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
29.0,Male,Bachelor,Software Engineer,4.0,140000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
25.0,Female,Master,Data Analyst,1.0,100000.0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
33.0,Male,PhD,Data Scientist,8.0,190000.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
31.0,Female,Bachelor,Software Engineer,6.0,155000.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30.0,Female,Bachelor,Data Analyst,5.0,145000.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
27.0,Male,PhD,Data Scientist,2.0,115000.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
